Name;iupac;iupac-common name;omega;delta;InChI;SMILES;[kJ /mol ];[C ];
P6P ;2-(hexanoyloxy)propane-1,3-diyl dihexadecanate;2-(caproyloxy)propane-1,3-diyl dipalmitate;1(16:0)-2(6:0)-3(16:0);1(16:0)-2(6:0)-3(16:0);InChI=1S/C41H78O6/c1-4-7-10-12-14-16-18-20-22-24-26-28-31-33-39(42)45-36-38(47-41(44)35-30-9-6-3)37-46-40(43)34-32-29-27-25-23-21-19-17-15-13-11-8-5-2/h38H,4-37H2,1-3H3;O=C(CCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCC;;45.4;1
P8P ;2-(octanoyloxy)propane-1,3-diyl dihexadecanate;2-(capryloyloxy)propane-1,3-diyl dipalmitate;1(16:0)-2(8:0)-3(16:0);1(16:0)-2(8:0)-3(16:0);InChI=1S/C43H82O6/c1-4-7-10-13-15-17-19-21-23-25-27-30-32-35-41(44)47-38-40(49-43(46)37-34-29-12-9-6-3)39-48-42(45)36-33-31-28-26-24-22-20-18-16-14-11-8-5-2/h40H,4-39H2,1-3H3;O=C(CCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC;122;48.5;1
17.17.17(a );propane-1,2,3-triyl heptadecanate;propane-1,2,3-triyl margarate;1(17:0)-2(17:0)-3(17:0);1(17:0)-2(17:0)-3(17:0);InChI=1S/C54H104O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-52(55)58-49-51(60-54(57)48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)50-59-53(56)47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h51H,4-50H2,1-3H3;O=C(CCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC;169.1;65;1
17.17.17;propane-1,2,3-triyl heptadecanate;propane-1,2,3-triyl margarate;1(17:0)-2(17:0)-3(17:0);1(17:0)-2(17:0)-3(17:0);InChI=1S/C54H104O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-52(55)58-49-51(60-54(57)48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)50-59-53(56)47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h51H,4-50H2,1-3H3;O=C(CCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC;;63.9;1
SCC (a ,b );3-(octadecanoyloxy)propane-1,2-diyl didecanate;3-(stearoyloxy)propane-1,2-diyl dicapriate;1(18:0)-2(10:0)-3(10:0);1(18:0)-2(10:0)-3(10:0);InChI=1S/C41H78O6/c1-4-7-10-13-16-17-18-19-20-21-22-23-26-28-31-34-40(43)46-37-38(47-41(44)35-32-29-25-15-12-9-6-3)36-45-39(42)33-30-27-24-14-11-8-5-2/h38H,4-37H2,1-3H3;O=C(CCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCC;;41.1;0
SCL (a ,b );1-(octadecanoyloxy)-2-(decanoyloxy)propan-3-yl dodecanate;1-(stearoyloxy)-2-(caprioyloxy)propan-3-yl laurate;1(18:0)-2(10:0)-3(12:0);1(18:0)-2(10:0)-3(12:0);InChI=1S/C43H82O6/c1-4-7-10-13-16-18-19-20-21-22-23-25-28-30-33-36-42(45)48-39-40(49-43(46)37-34-31-26-15-12-9-6-3)38-47-41(44)35-32-29-27-24-17-14-11-8-5-2/h40H,4-39H2,1-3H3;O=C(CCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCC;;41.9;0
SCM (a ,b );1-(octadecanoyloxy)-2-(decanoyloxy)propan-3-yl tetradecanate;1-(stearoyloxy)-2-(caprioyloxy)propan-3-yl myristate;1(18:0)-2(10:0)-3(14:0);1(18:0)-2(10:0)-3(14:0);InChI=1S/C45H86O6/c1-4-7-10-13-16-18-20-21-22-23-25-27-30-32-35-38-44(47)50-41-42(51-45(48)39-36-33-28-15-12-9-6-3)40-49-43(46)37-34-31-29-26-24-19-17-14-11-8-5-2/h42H,4-41H2,1-3H3;O=C(CCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCC;88;51.8;1
SCP (a ,b );1-(octadecanoyloxy)-2-(decanoyloxy)propan-3-yl hexadecanate;1-(stearoyloxy)-2-(caprioyloxy)propan-3-yl palmitate;1(18:0)-2(10:0)-3(16:0);1(18:0)-2(10:0)-3(16:0);InChI=1S/C47H90O6/c1-4-7-10-13-16-18-20-22-23-25-27-29-32-34-37-40-46(49)52-43-44(53-47(50)41-38-35-30-15-12-9-6-3)42-51-45(48)39-36-33-31-28-26-24-21-19-17-14-11-8-5-2/h44H,4-43H2,1-3H3;O=C(CCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCC;125;54.3;1
SCS ;2-(decanoyloxy)propane-1,3-diyl dioctadecanate;2-(caprioyloxy)propane-1,3-diyl distearate;1(18:0)-2(10:0)-3(18:0);1(18:0)-2(10:0)-3(18:0);InChI=1S/C49H94O6/c1-4-7-10-13-16-18-20-22-24-26-28-30-33-35-38-41-47(50)53-44-46(55-49(52)43-40-37-32-15-12-9-6-3)45-54-48(51)42-39-36-34-31-29-27-25-23-21-19-17-14-11-8-5-2/h46H,4-45H2,1-3H3;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCC;143;57.4;1
SLC (a ,b );1-(octadecanoyloxy)-2-(dodecanoyloxy)propan-3-yl decanate;1-(stearoyloxy)-2-(lauroyloxy)propan-3-yl capriate;1(18:0)-2(12:0)-3(10:0);1(18:0)-2(12:0)-3(10:0);InChI=1S/C43H82O6/c1-4-7-10-13-16-18-19-20-21-22-23-25-27-30-33-36-42(45)48-39-40(38-47-41(44)35-32-29-26-15-12-9-6-3)49-43(46)37-34-31-28-24-17-14-11-8-5-2/h40H,4-39H2,1-3H3;O=C(CCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC;;44.1;0
SLL (b );3-(octadecanoyloxy)propane-1,2-diyl didodecanate;3-(stearoyloxy)propane-1,2-diyl dilaurate;1(18:0)-2(12:0)-3(12:0);1(18:0)-2(12:0)-3(12:0);InChI=1S/C45H86O6/c1-4-7-10-13-16-19-20-21-22-23-24-27-29-32-35-38-44(47)50-41-42(51-45(48)39-36-33-30-26-18-15-12-9-6-3)40-49-43(46)37-34-31-28-25-17-14-11-8-5-2/h42H,4-41H2,1-3H3;O=C(CCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC;;45.2;1
SLM (a ,b );1-(octadecanoyloxy)-2-(dodecanoyloxy)propan-3-yl tetradecanate;1-(stearoyloxy)-2-(lauroyloxy)propan-3-yl myristate;1(18:0)-2(12:0)-3(14:0);1(18:0)-2(12:0)-3(14:0);InChI=1S/C47H90O6/c1-4-7-10-13-16-19-21-22-23-24-26-29-31-34-37-40-46(49)52-43-44(53-47(50)41-38-35-32-27-18-15-12-9-6-3)42-51-45(48)39-36-33-30-28-25-20-17-14-11-8-5-2/h44H,4-43H2,1-3H3;O=C(CCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC;;54.6;1
SLP (a ,b );1-(octadecanoyloxy)-2-(dodecanoyloxy)propan-3-yl hexadecanate;1-(stearoyloxy)-2-(lauroyloxy)propan-3-yl palmitate;1(18:0)-2(12:0)-3(16:0);1(18:0)-2(12:0)-3(16:0);InChI=1S/C49H94O6/c1-4-7-10-13-16-19-21-23-24-26-28-31-33-36-39-42-48(51)54-45-46(55-49(52)43-40-37-34-29-18-15-12-9-6-3)44-53-47(50)41-38-35-32-30-27-25-22-20-17-14-11-8-5-2/h46H,4-45H2,1-3H3;O=C(CCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC;123;57.1;1
PLP ;2-(dodecanoyloxy)propane-1,3-diyl dihexadecanate;2-(lauroyloxy)propane-1,3-diyl dipalmitate;1(16:0)-2(12:0)-3(16:0);1(16:0)-2(12:0)-3(16:0);InChI=1S/C47H90O6/c1-4-7-10-13-16-19-21-23-25-28-30-33-36-39-45(48)51-42-44(53-47(50)41-38-35-32-27-18-15-12-9-6-3)43-52-46(49)40-37-34-31-29-26-24-22-20-17-14-11-8-5-2/h44H,4-43H2,1-3H3;O=C(CCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC;121.5;53.9;1
SLS ;2-(dodecanoyloxy)propane-1,3-diyl dioctadecanate;2-(lauroyloxy)propane-1,3-diyl distearate;1(18:0)-2(12:0)-3(18:0);1(18:0)-2(12:0)-3(18:0);InChI=1S/C51H98O6/c1-4-7-10-13-16-19-21-23-25-27-29-32-34-37-40-43-49(52)55-46-48(57-51(54)45-42-39-36-31-18-15-12-9-6-3)47-56-50(53)44-41-38-35-33-30-28-26-24-22-20-17-14-11-8-5-2/h48H,4-47H2,1-3H3;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC;132;60.3;1
SLS ;2-(dodecanoyloxy)propane-1,3-diyl dioctadecanate;2-(lauroyloxy)propane-1,3-diyl distearate;1(18:0)-2(12:0)-3(18:0);1(18:0)-2(12:0)-3(18:0);InChI=1S/C51H98O6/c1-4-7-10-13-16-19-21-23-25-27-29-32-34-37-40-43-49(52)55-46-48(57-51(54)45-42-39-36-31-18-15-12-9-6-3)47-56-50(53)44-41-38-35-33-30-28-26-24-22-20-17-14-11-8-5-2/h48H,4-47H2,1-3H3;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC;132;60.3;1
SMC (a ,b );1-(octadecanoyloxy)-2-(tetradecanoyloxy)propan-3-yl decanate;1-(stearoyloxy)-2-(myristoyloxy)propan-3-yl capriate;1(18:0)-2(14:0)-3(10:0);1(18:0)-2(14:0)-3(10:0);InChI=1S/C45H86O6/c1-4-7-10-13-16-18-20-21-22-23-25-26-29-32-35-38-44(47)50-41-42(40-49-43(46)37-34-31-28-15-12-9-6-3)51-45(48)39-36-33-30-27-24-19-17-14-11-8-5-2/h42H,4-41H2,1-3H3;O=C(CCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC;;45.1;1
