,SMILES,E_coh (MPa),T_g (K),R_gyr (A^2),Densities (kg/m^3),E_coh_bin,T_g_bin,R_gyr_bin,Densities_bin,smiles_lenght
149,C=C(C)C(=O)NC1CC1,629.6116752826936,259.3740902612,5.362419252620525e-20,1017.5842697983052,1,0,0,0,17
150,C=CC(=O)Nc1ncc(CC)s1,718.9602920997074,314.2280400395568,8.156491855160924e-20,1199.7977651920924,1,0,0,1,20
151,C=CC(=O)N[C@@H]1[C@@H](N)CC(C(=O)O)=C[C@H]1OC(CC)CC,554.5373408632706,367.11308711733335,1.1727353909449241e-19,1123.405500825413,1,1,1,0,51
152,C=CC(=O)N1CCCCO1,675.993733916251,285.9515668869668,5.280700292165243e-20,1109.0705351458544,1,0,0,0,16
153,C=C(C)C(=O)Oc1ccc(F)cc1,440.0365525338111,227.23454423612463,8.776136569566247e-20,1135.9696560129923,0,0,0,1,23
154,C=C(C)C(=O)NCc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1,601.0872612138589,411.92918199385576,1.8013789215220693e-19,1203.7230492323306,1,1,1,1,43
155,C=C(C)C(=O)OCCc1c(C)c2cc3c4c(c2oc1=O)CCCN4CCC3,495.1484840661718,375.4560958149028,1.9258599978226653e-19,1163.8276406873258,0,1,1,1,46
156,C=CC(=O)NCc1ccc(Cl)cc1,629.3231088660311,300.2655975040625,1.0668183977388833e-19,1212.9666727335343,1,0,1,1,22
157,C=CC(=O)Nc1cccc(C(=O)NC2CCN(Cc3ccccn3)CC2)c1,587.0288232374751,366.7564397418311,2.79020109419843e-19,1154.2929905602518,1,1,1,1,44
158,C=C(C)C(=O)Nc1cc(Cl)c(C)c(Cl)c1OC(=O)C(=C)C,464.9939882893976,316.14433338775893,1.2078369245528576e-19,1266.5316090211156,0,0,1,1,43
159,C=C(C)C(=O)N(CCC1(Cc2ccccc2)CCOC(C)(C)C1)Cc1ccc(N(C)C)cc1,367.33718530802446,426.8414271165608,2.0045182858663884e-19,1036.173430340447,0,1,1,0,57
160,C=C(C)C(=O)NCC(F)(F)C(F)(F)C(F)(F)F,398.8291514574979,259.08444828260315,9.497614176604896e-20,1463.5674549214102,0,0,0,1,35
161,C#CCN(CC1CC1)C(=O)C=C,490.28674461536536,276.55977242117643,6.620844070487897e-20,1007.2836496241756,0,0,0,0,21
162,C=CC(=O)OCCN1CCCC1=O,340.1038928447615,278.30018086665234,9.604047767131166e-20,990.8059434192454,0,0,0,0,20
163,C=C(C)C(=O)Oc1cccc(N2Cc3ccccc3C2=O)c1,555.34833549667,359.44266303559345,1.6589105288723168e-19,1181.1731789713067,1,1,1,1,37
164,C=CC(=O)NC1CC(C)(C)N(O)C(C)(C)C1,525.7665129712377,362.7186554315962,9.216820010236274e-20,1060.0718046104096,0,1,0,0,32
165,C=CC(=O)NC(C)c1ccc(Cl)s1,601.229143177599,308.02316151100274,9.660991613363249e-20,1273.115372965629,1,0,0,1,24
166,CC#N,423.6955317658867,754.4562005455273,1.383724535604844e-20,700.3747416543462,0,1,0,0,4
167,C=C(C)C(=O)OCC(F)(C(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)F,291.79976191417643,250.5463109480256,1.0116219450979472e-19,1587.6195798178037,0,0,1,1,53
168,C=CC(=O)N1CCC(C(=O)OC)C1,629.1631081125208,292.5129890305055,8.32528008718971e-20,1149.8936901639618,1,0,0,1,24
169,C=CC(=O)N(Cc1cccc(F)c1)C1CC1,465.14584190030354,312.62726168239755,8.912026511039814e-20,1115.344198446479,0,0,0,0,28
170,C=CC(=O)Nc1ccsc1Cl,662.1003295810225,295.5964961622815,6.788354506973462e-20,1373.9954399402616,1,0,0,1,18
